nodeA,nodeB,Type
1809,windows,containPlat
1809,win,containPlat
1809,Win,containPlat
1809,Mac,containPlat
1809,Ubuntu,containPlat
1809,Windows,containPlat
1809,Window,containPlat
1809,OS X,containPlat
1809,Mac OS,containPlat
11011866,iOS,containPlat
11011866,ios,containPlat
11011866,mac,containPlat
11011866,win,containPlat
11011866,OS X,containPlat
1817,Linux,containPlat
1817,linux,containPlat
1817,win,containPlat
1817,ubuntu,containPlat
1817,CE,containPlat
1817,OS X,containPlat
33294110,iOS,containPlat
33294110,CE,containPlat
22808352,Android,containPlat
17827620,OSX,containPlat
17827620,iOS,containPlat
17827620,CE,containPlat
12846884,Linux,containPlat
12846884,mac,containPlat
12846884,Win,containPlat
12846884,win,containPlat
12846884,Mac,containPlat
12846884,Windows,containPlat
12846884,Window,containPlat
12846884,CE,containPlat
12846884,OS X,containPlat
1834,mac,containPlat
1834,win,containPlat
24119090,WIN,containPlat
24119090,Linux,containPlat
24119090,Win,containPlat
24119090,win,containPlat
24119090,Window,containPlat
1843,iOS,containPlat
1843,CE,containPlat
1843,win,containPlat
18089783,Window,containPlat
18089783,Win,containPlat
